index0;index1;index2;index3;index4;temp;press;hum;label;;;;;;
321608.03;2248696.25;5295410.50;1093725.00;239476.14;32.07;90181.77;14.41;3;;;;;;
297501.44;2061918.00;4853080.50;1017892.62;229647.91;32.08;90183.30;14.60;3;;;;;;
302511.09;2088730.25;4900987.00;1025538.31;232780.17;32.07;90184.48;14.79;3;;;;;;
304671.22;2121180.75;4995122.00;1068057.37;258520.58;32.10;90180.62;14.20;3;;;;;;
334203.66;2353346.75;5553898.50;1159682.87;259503.30;32.10;90182.37;13.97;3;;;;;;
291405.81;1982575.00;4626941.50;982725.50;244449.75;32.12;90182.37;14.74;3;;;;;;
325285.91;2321337.50;5509078.50;1128996.75;255616.58;32.14;90182.61;14.15;3;;;;;;
294676.25;2010306.75;4747609.50;1016377.19;249087.81;32.12;90181.21;14.67;3;;;;;;
296983.75;2011787.87;4686499.00;1001467.00;249817.03;32.12;90183.67;14.84;3;;;;;;
315076.94;2183951.00;5229492.50;1104340.75;252403.25;32.10;90182.02;14.31;3;;;;;;
283656.50;1895857.50;4406670.50;952558.13;222463.61;32.11;90186.62;14.69;3;;;;;;
281783.16;1914466.00;4508530.50;974310.19;238305.80;32.09;90185.31;14.93;3;;;;;;
355432.16;2602287.25;6454205.00;1299904.75;295953.75;32.07;90181.59;13.21;3;;;;;;
376886.28;2697398.75;6461842.00;1291298.87;282951.09;32.09;90182.54;13.07;3;;;;;;
321305.31;2233978.75;5321208.00;1106130.12;250000.00;32.10;90181.43;14.01;3;;;;;;
296983.75;2035785.25;4823079.00;1020937.19;242023.16;32.13;90181.68;14.24;3;;;;;;
287964.00;1927983.00;4580374.50;991287.50;238472.28;32.14;90184.78;14.47;3;;;;;;
311057.09;2237640.00;5368283.00;1125274.75;262901.16;32.16;90182.85;13.99;3;;;;;;
287964.00;1998536.25;4768335.50;1001467.00;227808.67;32.12;90183.94;14.44;3;;;;;;
306311.69;2154655.50;5145728.50;1086760.37;250550.53;32.12;90185.13;14.41;3;;;;;;
297501.44;2106454.00;5088199.00;1085033.12;242194.89;32.11;90185.31;14.17;3;;;;;;
381307.03;2785447.25;6782860.50;1318737.87;249634.33;32.12;90186.23;13.91;3;;;;;;
337842.28;2474924.50;6036846.00;1219773.62;276756.75;32.14;90185.59;13.86;3;;;;;;
307969.94;2131113.50;5088199.00;1086760.37;253905.28;32.13;90184.13;14.02;3;;;;;;
311057.09;2208681.50;5249599.50;1096359.75;243403.84;32.12;90184.07;14.61;3;;;;;;
293662.19;2046465.13;4909799.00;1058945.25;252403.25;32.12;90185.38;14.47;3;;;;;;
366499.66;2716180.25;6753503.50;1313662.62;277206.28;32.12;90183.98;13.62;3;;;;;;
336178.59;2384167.75;5746755.50;1151856.00;246746.98;32.08;90187.55;14.44;3;;;;;;
329048.84;2377939.00;5870297.50;1212193.00;259700.73;32.08;90186.26;14.06;3;;;;;;
315951.87;2239475.00;5470451.00;1125274.75;249087.81;32.09;90186.41;14.34;3;;;;;;
306311.69;2173520.75;5244558.50;1099007.25;242194.89;32.09;90185.90;14.43;3;;;;;;
308248.03;2164904.75;5224490.00;1085033.12;236817.77;32.08;90186.77;14.80;3;;;;;;
