0,1,2,3,label
174268.2,44.27,984.87,16.13,2
175703.5,44.32,984.9,16.12,2
176430.05,44.25,984.89,16.11,2
175703.5,44.26,984.88,16.13,2
173559.33,44.33,984.88,16.11,2
174982.91,44.31,984.89,16.12,2
175342.47,44.27,984.89,16.12,2
175342.47,44.31,984.89,16.12,2
178272.98,44.34,984.86,16.09,2
179586.11,44.28,984.87,16.08,2
180918.73,44.29,984.9,16.05,2
182271.27,44.34,984.87,16.09,2
184837.55,44.31,984.87,16.09,2
186453.02,44.27,984.86,16.11,2
192372.72,44.33,984.87,16.12,2
192807.38,44.35,984.87,16.08,2
193134.67,44.28,984.87,16.13,2
192916.36,44.31,984.88,16.08,2
192156.13,44.34,984.87,16.12,2
194123.22,44.29,984.89,16.05,2
196582.84,44.27,984.89,16.09,2
199105.58,44.31,984.87,16.09,2
199921.91,44.31,984.87,16.05,2
202531.64,44.25,984.87,16.12,2
205581.2,44.29,984.86,16.07,2
201693.91,44.32,984.86,16.12,2
207077.86,44.26,984.85,16.08,2
207581.59,44.26,984.86,16.09,2
209107.61,44.31,984.86,16.07,2
208341.81,44.3,984.85,16.04,2
210266.94,44.26,984.83,16.07,2
211439.19,44.32,984.85,16.05,2
215715.19,44.34,984.88,16.09,2
218756.67,44.27,984.84,16.06,2
220167.7,44.29,984.86,16.06,2
219601.11,44.34,984.85,16.07,2
214360.48,44.32,984.85,16.02,2
208979.59,44.3,984.84,16.04,2
205210.42,44.35,984.85,16.07,2
204840.97,44.37,984.85,16.02,2
207455.42,44.31,984.83,16.01,2
210008.2,44.34,984.83,16.0,2
210656.25,44.36,984.83,16.0,2
213155.7,44.33,984.84,16.01,2
211439.19,44.33,984.83,16.06,2
206701.66,44.38,984.83,16.01,2
204718.11,44.39,984.82,15.99,2
202171.77,44.34,984.83,15.99,2
204106.05,44.38,984.81,16.01,2
209364.14,44.4,984.82,16.05,2
209364.14,44.35,984.84,15.93,2
209879.08,44.36,984.82,16.01,2
208851.72,44.4,984.81,15.99,2
211177.56,44.39,984.82,15.95,2
211570.25,44.34,984.79,15.99,2
212492.22,44.4,984.82,16.0,2
210266.94,44.41,984.79,15.99,2
210786.33,44.36,984.8,16.03,2
212227.98,44.38,984.79,16.02,2
214360.48,44.4,984.77,15.98,2
212757.11,44.4,984.79,15.97,2
210008.2,44.37,984.78,16.0,2
209879.08,44.41,984.76,15.99,2
210526.31,44.43,984.8,15.97,2
214630.06,44.36,984.76,15.95,2
213555.78,44.39,984.76,15.97,2
213823.34,44.42,984.76,15.95,2
